primary_fuel,ORIS code,Plant Name,physical_state,Unit Number,boiler_id,Unit Type,boiler_type,MWe_capacity_MW,max_heat_input_MMBtu/hr,Boiler_Heat_Rate_Mmbtu/MWh,Fuel_types,Fuel_Conc_lb/MMBtu,Mercury - ERT_lb/MMBtu,Mercury MW - ERT_lb/MW,Mercury - ETTS_lb_MMBtu,Mercury MW - ETTS_lb/MW,Mercury - CEMS_lb_MMBtu,Mercury - Part II_lb_MMBtu,Mercury MW - Part II_lb/MW,Mercury_min_lb_MMBtu,Mercury _min lb_MW,control_group_1,control_type_1,install_date_1,control_group_2,control_type_2,install_date_2,control_group_3,control_type_3,install_date_3,control_group_4,control_type_4,install_date_4,control_group_5,control_type_5,install_date_5,control_group_6,control_type_6,install_date_6,control_group_7,control_type_7,install_date_7,control_group_8,control_type_8,install_date_8,control_group_9,control_type_9,install_date_9,control_group_10,control_type_10,install_date_10,control_group_11,control_type_11,install_date_11,control_group_12,control_type_12,install_date_12
coal,2094,Sibley,MO,1,1,Conventional Boiler,Cyclone firing,55,609.6,11.08363636,"coal - subbituminous, bituminous",6.94E-06,,,1.30E-06,1.44E-05,,3.06E-06,3.39E-05,1.30E-06,1.44E-05,NOx control,Selective Noncatalytic Reduction,1-May-08,PM control,"Electrostatic precipitator, cold side, w/o flue gas conditioning",1-Jan-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,867,Crawford,IL,CRA7 CONFIG,7,Conventional Boiler,Tangential firing,234,2378.571,10.16483333,coal - subbituminous,,,,,,,1.42E-06,0.00001448,1.42E-06,1.45E-05,Other control,Activated carbon injection,1-Jul-08,PM control,"Electrostatic precipitator, cold side, w/o flue gas conditioning",1-May-58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,3297,Wateree,SC,WAT002,WAT2,Conventional Boiler,Wall firing - unspecified,380,3305.1,8.697631579,coal - bituminous,,,,,,,0.00000167,1.45E-05,0.00000167,1.45E-05,NOx control,Selective Catalytic Reduction,1-Apr-04,PM control,"Fabric Filter, unspecified",1-Jul-01,SO2 control,Wet FGD - Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,8223,Springerville,AZ,2,2,Conventional Boiler,Tangential firing,430,3830,8.906976744,coal - bituminous,,,,,,,0.00000167,1.49E-05,0.00000167,1.49E-05,SO2 control,Dry FGD - Spray Dryer,1-Jun-90,PM control,"Fabric Filter, reverse air",1-Jun-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,994,AES Petersburg,IN,1s,1,Conventional Boiler,Tangential firing,255,2200,8.62745098,coal - bituminous,,,,,,,1.74E-06,1.50E-05,1.74E-06,1.50E-05,PM control,"Electrostatic precipitator, cold side, w/ flue gas conditioning",1-Dec-67,SO2 control,Wet FGD - Spray Type,1-Dec-96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,1008,R. Gallagher,IN,Feb-07,2,Conventional Boiler,Wall firing - front firing,150,1460,9.733333333,coal - bituminous,,,,,,,1.55E-06,1.51E-05,1.55E-06,1.51E-05,PM control,"Fabric Filter, shake and deflate",1-Dec-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,642,Scholz,FL,Unit 2,2,Conventional Boiler,Wall firing - front firing,49,644.742,13.158,coal - bituminous,5.46E-06,,,1.15E-06,1.52E-05,,,,1.15E-06,1.52E-05,PM control,"Electrostatic precipitator, cold side, w/o flue gas conditioning",1-Dec-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,1043,Frank E. Ratts,IN,2SG1conf1,2SG1,Conventional Boiler,Wall firing - front firing,131,1142,8.717557252,coal - bituminous,,,,,,,1.82E-06,1.59E-05,1.82E-06,1.59E-05,PM control,"Electrostatic precipitator, cold side, w/o flue gas conditioning",1-Dec-76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,2094,Sibley,MO,2,2,Conventional Boiler,Cyclone firing,51,627.3,12.3,"coal - subbituminous, bituminous",6.94E-06,,,1.30E-06,0.000015949,,3.06E-06,3.76E-05,1.30E-06,1.59E-05,NOx control,Selective Noncatalytic Reduction,1-May-08,PM control,"Electrostatic precipitator, cold side, w/o flue gas conditioning",1-Jan-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,6017,Newton,IL,002,2,Conventional Boiler,Tangential firing,620,5500,8.870967742,coal - subbituminous,5.47E-06,,,3.72E-06,3.30E-05,,0.00000182,1.61E-05,0.00000182,1.61E-05,Other control,Other (specify): Flue gas conditioning,1-Apr-01,Other control,Activated carbon injection,,PM control,"Electrostatic precipitator, cold side, w/ flue gas conditioning",,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,384,Joliet 29,IL,JOL8CONFIG,82,Conventional Boiler,Tangential firing,271,2675.6993,9.873429153,coal - subbituminous,,,,,,,1.64E-06,1.65E-05,1.64E-06,1.62E-05,Other control,Activated carbon injection,1-Jul-09,Other control,Activated carbon injection,1-Jul-09,PM control,"Electrostatic precipitator, cold side, w/o flue gas conditioning",1-Mar-66,PM control,"Electrostatic precipitator, cold side, w/o flue gas conditioning",1-Mar-66,,,,,,,,,,,,,,,,,,,,,,,,
coal,6249,Winyah,SC,W3,3,Conventional Boiler,Wall firing - opposed firing,305,2877,9.432786885,coal - bituminous,,,,,,,1.75E-06,1.66E-05,1.75E-06,1.66E-05,NOx control,Selective Catalytic Reduction,1-Apr-05,PM control,"Electrostatic precipitator, cold side, w/ flue gas conditioning",1-May-80,SO2 control,Wet FGD - Spray Type,1-May-80,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,384,Joliet 29,IL,JOL8CONFIG,81,Conventional Boiler,Tangential firing,271,2758.091,10.17745756,coal - subbituminous,,,,,,,1.64E-06,1.65E-05,1.64E-06,1.67E-05,Other control,Activated carbon injection,1-Jul-09,Other control,Activated carbon injection,1-Jul-09,PM control,"Electrostatic precipitator, cold side, w/o flue gas conditioning",1-Mar-66,PM control,"Electrostatic precipitator, cold side, w/o flue gas conditioning",1-Mar-66,,,,,,,,,,,,,,,,,,,,,,,,
coal,2169,Chamois Power Plant,MO,Unit 2,2,Conventional Boiler,Cyclone firing,50,563,11.26,coal - subbituminous,,,,,,,1.49E-06,1.67E-05,1.49E-06,1.67E-05,PM control,"Electrostatic precipitator, cold side, w/o flue gas conditioning",1-Jun-76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,113,Cholla,AZ,004,4,Conventional Boiler,Tangential firing,425,4268,10.04235294,coal - bituminous,9.50E-06,,,1.73E-06,1.74E-05,,,,1.73E-06,1.74E-05,PM control,"Fabric Filter, unspecified",1-Jan-08,SO2 control,Wet FGD - Packed Type,1-Jan-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,8223,Springerville,AZ,3,3,Conventional Boiler,Wall firing - opposed firing,450,4200,9.333333333,coal - subbituminous,4.15E-06,,,3.10E-06,2.90E-05,,0.0000019,1.77E-05,0.0000019,1.77E-05,NOx control,Selective Catalytic Reduction,1-Aug-06,SO2 control,Dry FGD - Spray Dryer,1-Aug-06,PM control,"Fabric Filter, pulse",1-Aug-06,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,994,AES Petersburg,IN,2ss,2,Conventional Boiler,Tangential firing,445,4144,9.312359551,coal - bituminous,,,,,,,1.91E-06,1.78E-05,1.91E-06,1.78E-05,NOx control,Selective Catalytic Reduction,1-Dec-04,PM control,"Electrostatic precipitator, cold side, w/ flue gas conditioning",1-Dec-69,SO2 control,Wet FGD - Spray Type,1-Dec-96,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,6113,Gibson,IN,4,4,Conventional Boiler,Wall firing - opposed firing,661,6265,9.47806354,coal - bituminous,,,,,,,1.91E-06,1.81E-05,1.91E-06,1.81E-05,NOx control,Selective Catalytic Reduction,1-Apr-03,Other control,Other (specify): Soda Ash Injection for SO3 mitigation,1-Jun-04,PM control,"Electrostatic precipitator, cold side, w/o flue gas conditioning",1-Jan-78,SO2 control,Wet FGD - Tray Type,1-Dec-94,,,,,,,,,,,,,,,,,,,,,,,,
coal,1385,Dale Station,KY,03,3,Conventional Boiler,Wall firing - front firing,80,944,11.8,coal - bituminous,3.82E-06,,,0.00000159,0.000018762,,,,0.00000159,1.88E-05,PM control,"Electrostatic precipitator, cold side, w/ flue gas conditioning",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,3181,Mitchell Power Station,PA,033,33,Conventional Boiler,Tangential firing,289,2563,8.868512111,coal - bituminous,,,,,,,0.000002132,1.89E-05,0.000002132,1.89E-05,PM control,"Electrostatic precipitator, cold side, unspecified",1-Jan-71,SO2 control,Wet FGD - Spray Type,1-Jan-83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,6249,Winyah,SC,W4,4,Conventional Boiler,Wall firing - opposed firing,305,3051,10.00327869,coal - bituminous,,,,,,,1.91E-06,1.91E-05,1.91E-06,1.91E-05,NOx control,Selective Catalytic Reduction,1-May-05,PM control,"Electrostatic precipitator, cold side, w/ flue gas conditioning",1-Nov-81,SO2 control,Wet FGD - Spray Type,1-Nov-81,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,6179,Fayette Power Project,TX,3,3,Conventional Boiler,Tangential firing,470,4660,9.914893617,coal - subbituminous,,,,,,,0.00000193,1.91E-05,0.00000193,1.91E-05,PM control,"Electrostatic precipitator, cold side, w/o flue gas conditioning",1-Apr-88,SO2 control,Wet FGD - Spray Type,1-Apr-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,994,AES Petersburg,IN,3ss,3,Conventional Boiler,Tangential firing,580,5540,9.551724138,coal - bituminous,,,,,,,0.000002042,1.95E-05,0.000002042,1.95E-05,NOx control,Selective Catalytic Reduction,1-Dec-04,PM control,"Electrostatic precipitator, cold side, w/ flue gas conditioning",1-Dec-77,SO2 control,Wet FGD - Spray Type,1-Dec-77,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,1363,Cane Run,KY,CR5,5,Conventional Boiler,Wall firing - front firing,181,2182,12.05524862,coal - bituminous,6.96E-06,1.64E-06,1.98E-05,,,,,,1.64E-06,1.98E-05,PM control,"Electrostatic precipitator, cold side, w/o flue gas conditioning",1-Mar-66,SO2 control,Wet FGD - Spray Type,1-May-78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,887,Joppa Steam,IL,1,1,Conventional Boiler,Tangential firing,183.3,1800,9.819967267,coal - subbituminous,5.67E-06,,,0.00000203,1.99E-05,,,,0.00000203,1.99E-05,Other control,Activated carbon injection,1-Jul-09,PM control,"Electrostatic precipitator, cold side, w/ flue gas conditioning",1-Jan-71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,3280,Canadys Steam,SC,CAN001,CAN1,Conventional Boiler,Tangential firing,121,1141.5,9.433884298,coal - bituminous,,,,,,,0.00000215,2.03E-05,0.00000215,2.03E-05,PM control,"Electrostatic precipitator, cold side, w/ flue gas conditioning",1-Jun-72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,4041,South Oak Creek,WI,OCPP-B5,5,Conventional Boiler,Wall firing - front firing,273,2488,9.113553114,coal - subbituminous,,,,,,,2.23E-06,2.03E-05,2.23E-06,2.03E-05,PM control,"Electrostatic precipitator, cold side, w/o flue gas conditioning",1-Mar-72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,6249,Winyah,SC,W1,1,Conventional Boiler,Wall firing - rear firing,295,2904,9.844067797,coal - bituminous,,,,,,,2.07E-06,2.03E-05,2.07E-06,2.03E-05,NOx control,Selective Catalytic Reduction,1-May-04,PM control,"Electrostatic precipitator, cold side, w/o flue gas conditioning",1-Mar-75,SO2 control,Wet FGD - Spray Type,1-Apr-07,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,68029,AES Puerto Rico Cogeneration Facility,PR,Unit_2,BLR2,Fluidized bed firing,Fluidized bed firing,255,2461.4,9.65254902,coal - bituminous,5.65E-06,,,2.13E-06,2.06E-05,,,,2.13E-06,2.06E-05,NOx control,Selective Noncatalytic Reduction,,SO2 control,Dry FGD - Spray Dryer,,PM control,"Electrostatic precipitator, cold side, w/o flue gas conditioning",,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,4041,South Oak Creek,WI,OCPP-B8,8,Conventional Boiler,Tangential firing,336,3009,8.955357143,coal - subbituminous,4.60E-06,,,4.46E-06,4.00E-05,,0.0000023,2.06E-05,0.0000023,2.06E-05,PM control,"Electrostatic precipitator, cold side, w/o flue gas conditioning",1-Jul-91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,4140,Alma,WI,B5,B5,Conventional Boiler,Wall firing - unspecified,83.5,862.65,10.33113772,"coal - bituminous, subbituminous",,,,,,,2.02E-06,2.09E-05,2.02E-06,2.09E-05,NOx control,Selective Noncatalytic Reduction,,PM control,"Electrostatic precipitator, cold side, unspecified",1-Jun-74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,2161,James River Power Station,MO,Unit_5_JRPS,5,Conventional Boiler,Wall firing - front firing,105,1010,9.619047619,coal - subbituminous,7.03E-06,2.19E-06,2.11E-05,,,,,,2.19E-06,2.11E-05,NOx control,Selective Noncatalytic Reduction,1-Mar-09,PM control,"Electrostatic precipitator, cold side, w/o flue gas conditioning",1-May-70,PM control,"Electrostatic precipitator, cold side, w/o flue gas conditioning",1-May-94,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,2161,James River Power Station,MO,Unit_4_JRPS,4,Conventional Boiler,Wall firing - front firing,60,600,10,coal - subbituminous,4.78E-06,2.72E-06,2.72E-05,,,,0.00000211,0.0000211,0.00000211,2.11E-05,NOx control,Selective Noncatalytic Reduction,1-May-07,PM control,"Electrostatic precipitator, cold side, w/o flue gas conditioning",1-Aug-76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,994,AES Petersburg,IN,4s,4,Conventional Boiler,Tangential firing,584,5550,9.503424658,coal - bituminous,,,,,,,0.000002249,2.14E-05,0.000002249,2.14E-05,PM control,"Electrostatic precipitator, cold side, w/ flue gas conditioning",1-Dec-86,SO2 control,Wet FGD - Spray Type,1-Dec-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,1043,Frank E. Ratts,IN,1SG1conf1,1SG1,Conventional Boiler,Wall firing - front firing,130,1142,8.784615385,coal - bituminous,,,,,,,2.45E-06,2.15E-05,2.45E-06,2.15E-05,PM control,"Electrostatic precipitator, cold side, w/o flue gas conditioning",1-Dec-76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,2167,New Madrid,MO,con2,2,Conventional Boiler,Cyclone firing,600,6000,10,coal - subbituminous,,,,,,,0.00000219,0.0000219,0.00000219,2.19E-05,NOx control,Selective Catalytic Reduction,1-Feb-00,PM control,"Electrostatic precipitator, cold side, w/o flue gas conditioning",1-May-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,2167,New Madrid,MO,con1,1,Conventional Boiler,Cyclone firing,600,6000,10,coal - subbituminous,,,,,,,2.23E-06,2.23E-05,2.23E-06,2.23E-05,NOx control,Selective Catalytic Reduction,1-Feb-02,PM control,"Electrostatic precipitator, cold side, w/o flue gas conditioning",1-Apr-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,6096,Nebraska City,NE,NC2,NC2,Conventional Boiler,Wall firing - front firing,682,6920.254,10.147,coal - bituminous,7.01E-06,,,0.00000222,2.25E-05,,,,0.00000222,2.25E-05,NOx control,Selective Catalytic Reduction,1-May-09,Other control,Activated carbon injection,1-May-09,SO2 control,Dry FGD - Spray Dryer,1-May-09,PM control,"Fabric Filter, pulse",1-May-09,,,,,,,,,,,,,,,,,,,,,,,,
coal,2837,Eastlake,OH,Unit 1,1,Conventional Boiler,Tangential firing,144,1205,8.368055556,"coal - subbituminous, bituminous",1.02E-05,,,2.79E-06,2.33E-05,,,,2.79E-06,2.33E-05,PM control,"Electrostatic precipitator, cold side, w/o flue gas conditioning",1-Jan-79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,50611,"WPS Westwood Generation, LLC",PA,001,031,Fluidized bed firing,Fluidized bed firing,36,615,17.08333333,coal refuse (culm or gob),,,,,,,1.40E-06,2.39E-05,1.40E-06,2.39E-05,PM control,"Fabric Filter, pulse",1-Dec-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,6017,Newton,IL,001,1,Conventional Boiler,Tangential firing,629,5500,8.744038156,"coal - bituminous, subbituminous",,,,,,,0.00000275,2.40E-05,0.00000275,2.40E-05,Other control,Other (specify): Flue gas conditioning,1-Apr-01,Other control,Activated carbon injection,,PM control,"Electrostatic precipitator, cold side, w/ flue gas conditioning",,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,728,Yates,GA,Y1BR,Y1BR,Conventional Boiler,Tangential firing,107,1094.742,10.23123364,coal - bituminous,,,,,,,2.37E-06,2.43E-05,2.37E-06,2.43E-05,PM control,"Electrostatic precipitator, cold side, w/o flue gas conditioning",1-May-71,SO2 control,Wet FGD - Spray Type,1-Oct-92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,1832,Erickson Station,MI,001,EU001,Conventional Boiler,Wall firing - front firing,165,1668,10.10909091,coal - bituminous,5.63E-06,2.42E-06,2.44E-05,,,,3.52E-06,3.56E-05,2.42E-06,2.44E-05,PM control,"Electrostatic precipitator, unspecified",1-Jan-98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,864,Meredosia,IL,005,5,Conventional Boiler,Tangential firing,204,2784,13.64705882,coal - subbituminous,3.31E-06,,,1.80E-06,2.45E-05,,,,1.80E-06,2.45E-05,Other control,Activated carbon injection,1-Aug-09,PM control,"Electrostatic precipitator, cold side, w/ flue gas conditioning",1-Nov-92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,3115,Titus,PA,TI-1-2,1,Conventional Boiler,Tangential firing,86.2,900,10.44083527,coal - bituminous,,,,,,,2.39E-06,2.49E-05,2.39E-06,2.49E-05,PM control,"Electrostatic precipitator, cold side, w/o flue gas conditioning",1-Feb-75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,3295,Urquhart,SC,URQ003,URQ3,Conventional Boiler,Tangential firing,103,1048,10.17475728,coal - bituminous,1.51E-05,5.48E-06,5.57E-05,,,,0.00000246,2.50E-05,0.00000246,2.50E-05,PM control,"Electrostatic precipitator, cold side, unspecified",1-Nov-69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,384,Joliet 29,IL,JOL7CONFIG,72,Conventional Boiler,Tangential firing,273,2675.6993,9.801096339,coal - subbituminous,,,,,,,2.55E-06,0.00002604,2.55E-06,2.50E-05,Other control,Activated carbon injection,1-Jul-09,Other control,Activated carbon injection,1-Jul-09,PM control,"Electrostatic precipitator, cold side, w/o flue gas conditioning",1-Apr-65,PM control,"Electrostatic precipitator, cold side, w/o flue gas conditioning",1-Apr-65,,,,,,,,,,,,,,,,,,,,,,,,
coal,2708,Cape Fear Steam Electric Plant,NC,Cap_Cfg_5b,5,Conventional Boiler,Tangential firing,153,1242,8.117647059,coal - bituminous,5.73E-06,,,3.10E-06,2.52E-05,,,,3.10E-06,2.52E-05,NOx control,Selective Noncatalytic Reduction,1-May-06,PM control,"Electrostatic precipitator, cold side, w/o flue gas conditioning",1-Nov-73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,1943,Hoot Lake,MN,3,003,Conventional Boiler,Wall firing - front firing,83.5,978.7,11.72095808,coal - subbituminous,,,,,,,2.17E-06,2.55E-05,2.17E-06,2.55E-05,PM control,"Electrostatic precipitator, cold side, w/o flue gas conditioning",1-May-72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,2480,Danskammer Generating Station,NY,4,4,Conventional Boiler,Tangential firing,242.3,2535,10.4622369,coal - bituminous,,,,,,,2.45E-06,2.56E-05,2.45E-06,2.56E-05,PM control,"Electrostatic precipitator, cold side, w/o flue gas conditioning",1-Sep-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,964,Lakeside,IL,7,7,Conventional Boiler,Cyclone firing,43,474.83,11.04255814,coal - bituminous,,,,,,,2.33E-06,2.57E-05,2.33E-06,2.57E-05,PM control,"Electrostatic precipitator, cold side, w/o flue gas conditioning",1-Jun-60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,964,Lakeside,IL,8,8,Conventional Boiler,Cyclone firing,43,476.2,11.0744186,coal - bituminous,,,,,,,2.33E-06,2.58E-05,2.33E-06,2.58E-05,PM control,"Electrostatic precipitator, cold side, w/o flue gas conditioning",1-Jun-60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,1122,Ames Electric Services Power Plant,IA,007,Boiler 7,Conventional Boiler,Tangential firing,43.9,381,8.67881549,coal - subbituminous,,,,,,,0.00000299,2.59E-05,0.00000299,2.59E-05,PM control,"Electrostatic precipitator, cold side, unspecified",5-Mar-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,1250,Lawrence Energy Center,KS,3,3,Conventional Boiler,Tangential firing,58,645,11.12068966,coal - bituminous,6.19E-06,,,4.33E-06,4.81E-05,,2.35E-06,2.61E-05,2.35E-06,2.61E-05,PM control,"Electrostatic precipitator, cold side, w/o flue gas conditioning",1-Jun-77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,3280,Canadys Steam,SC,CAN002,CAN2,Conventional Boiler,Tangential firing,123,1175.7,9.558536585,coal - bituminous,,,,,,,0.00000274,2.62E-05,0.00000274,2.62E-05,PM control,"Electrostatic precipitator, cold side, w/ flue gas conditioning",1-Dec-71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,884,Will County,IL,WC3CONFIG,3,Conventional Boiler,Tangential firing,278,2582.037,9.287902878,coal - subbituminous,,,,,,,2.85E-06,0.00002645,2.85E-06,2.65E-05,Other control,Activated carbon injection,1-Jul-09,PM control,"Electrostatic precipitator, hot side, w/o flue gas conditioning",1-Jun-57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,54634,St. Nicholas Cogen Project,PA,1,1,Fluidized bed firing,Fluidized bed firing,99.2,1300,13.10483871,coal refuse (culm or gob),,,,,,,2.06E-06,0.000027,2.06E-06,2.70E-05,PM control,"Fabric Filter, pulse",1-Sep-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,384,Joliet 29,IL,JOL7CONFIG,71,Conventional Boiler,Tangential firing,273,2889.663,10.58484615,coal - subbituminous,,,,,,,2.55E-06,0.00002604,2.55E-06,2.70E-05,Other control,Activated carbon injection,1-Jul-09,Other control,Activated carbon injection,1-Jul-09,PM control,"Electrostatic precipitator, cold side, w/o flue gas conditioning",1-Apr-65,PM control,"Electrostatic precipitator, cold side, w/o flue gas conditioning",1-Apr-65,,,,,,,,,,,,,,,,,,,,,,,,
coal,6639,R D Green,KY,2,G2,Conventional Boiler,Wall firing - opposed firing,239,2726.6,11.4083682,"coal - bituminous, petroleum coke",6.61E-06,,,2.40E-06,2.73E-05,,,,2.40E-06,2.73E-05,PM control,"Electrostatic precipitator, cold side, w/o flue gas conditioning",1-Jan-81,SO2 control,Wet FGD - Spray Type,1-Jan-81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,2848,O H Hutchings,OH,H-6,H-6,Conventional Boiler,Tangential firing,60.5,646,10.67768595,coal - bituminous,,,,,,,2.60E-06,2.77E-05,2.60E-06,2.77E-05,PM control,"Electrostatic precipitator, hot side, w/o flue gas conditioning",1-Jan-73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,2824,Stanton,ND,u1,1,Conventional Boiler,Wall firing - front firing,132,1800,13.63636364,coal - subbituminous,,,,,,,2.07E-06,2.82E-05,2.07E-06,2.82E-05,PM control,"Electrostatic precipitator, cold side, w/o flue gas conditioning",1-Jan-00,PM control,"Electrostatic precipitator, cold side, w/o flue gas conditioning",1-Jan-00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,856,ED Edwards,IL,003,3,Conventional Boiler,Wall firing - unspecified,366,4594,12.55191257,"coal - bituminous, subbituminous",,,,,,,0.00000227,2.85E-05,0.00000227,2.85E-05,NOx control,Selective Catalytic Reduction,1-May-03,PM control,"Electrostatic precipitator, cold side, unspecified",1-Jun-72,Other control,Activated carbon injection,,Other control,Other (specify): Flue Gas Conditioning,,,,,,,,,,,,,,,,,,,,,,,,,
coal,1374,Elmer Smith Station,KY,Unit001,1374-2,Conventional Boiler,Tangential firing,291.5,2317,7.948542024,"coal - bituminous, petroleum coke",1.03E-05,,,0.00000361,2.99E-05,,,,0.00000361,2.87E-05,NOx control,Selective Catalytic Reduction,1-May-04,PM control,"Electrostatic precipitator, cold side, w/o flue gas conditioning",1-Dec-93,SO2 control,Wet FGD - Spray Type,1-Jan-95,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,3113,Portland,PA,POR-1,1,Conventional Boiler,Tangential firing,172,1719,9.994186047,coal - bituminous,,,,,,,0.000002927,2.93E-05,0.000002927,2.93E-05,PM control,"Electrostatic precipitator, cold side, w/o flue gas conditioning",1-Jan-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,1893,Boswell Energy Center,MN,BEC2,2,Conventional Boiler,Wall firing - front firing,72,750,10.41666667,coal - subbituminous,,,,,,,0.00000282,0.000029375,0.00000282,2.94E-05,NOx control,Selective Noncatalytic Reduction,,PM control,"Fabric Filter, unspecified",1-Jan-77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,469,Cherokee,CO,Unit 2,2,Conventional Boiler,Vertical firing,114,1392,12.21052632,coal - bituminous,,,,,,,0.00000244,2.98E-05,0.00000244,2.98E-05,SO2 control,Dry FGD - Sorbent Injection,1-Dec-02,PM control,"Fabric Filter, reverse air",1-May-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,3115,Titus,PA,TI-3-2,3,Conventional Boiler,Tangential firing,86.2,900,10.44083527,coal - bituminous,,,,,,,2.86E-06,2.99E-05,2.86E-06,2.99E-05,PM control,"Electrostatic precipitator, cold side, w/o flue gas conditioning",1-Feb-75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,3179,Hatfield's Ferry Power Station,PA,001,1,Conventional Boiler,Wall firing - opposed firing,590,5700,9.661016949,coal - bituminous,4.49E-06,,,3.16E-06,3.05E-05,,3.16E-06,3.06E-05,3.16E-06,3.05E-05,PM control,"Electrostatic precipitator, cold side, unspecified",1-Jan-69,SO2 control,Wet FGD - Spray Type,1-Jun-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,1046,Dubuque,IA,Unit 1,1,Conventional Boiler,Wall firing - front firing,37.6,605.8,16.11170213,coal - bituminous,,,,,,,0.0000019,3.06E-05,0.0000019,3.06E-05,PM control,"Electrostatic precipitator, cold side, w/o flue gas conditioning",1-Jan-74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,4041,South Oak Creek,WI,OCPP-B7,7,Conventional Boiler,Tangential firing,320,2856,8.925,coal - subbituminous,4.52E-06,,,3.47E-06,3.10E-05,,0.000004,0.0000357,3.47E-06,3.10E-05,PM control,"Electrostatic precipitator, cold side, w/o flue gas conditioning",1-Jul-92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
